Date,Open,High,Low,Close,Volume,AdjClose
2008-05-16,39.710001,39.710001,39.04,39.34,1446500,611.681781
2008-05-15,39.500001,39.629999,38.870002,39.570002,1465100,615.257987
2008-05-14,39.210001,39.69,39.029999,39.44,2559800,613.236641
2008-05-13,38.19,39.19,38.150001,39.160001,7756400,608.883053
2008-05-12,40.04,41.150001,38.370002,38.370002,4013300,596.599671
2008-05-09,41.89,42.120002,40.100001,40.279999,4171100,626.297453
2008-05-08,45.44,45.470002,43.850001,44.150001,1237600,686.470541
2008-05-07,48.329999,48.450001,44.970002,45.079999,1155600,700.930716
2008-05-06,47.29,48.650001,46.44,48.400001,814100,752.552076
2008-05-05,49.14,49.14,47.179999,47.39,762500,736.847984
2008-05-02,48.610001,49.500001,48.010001,49.04,1127000,762.503168
2008-05-01,46.220002,48.360001,45.979999,48.150001,693900,748.664927
2008-04-30,47.010001,47.279999,46.000001,46.200001,666300,718.345164
2008-04-29,46.89,47.750001,46.520002,47.000001,633000,730.784041
2008-04-28,47.050001,47.54,46.379999,47.04,568400,731.405975
2008-04-25,47.110001,47.829999,46.229999,47.529999,637700,739.024778
2008-04-24,44.250001,47.750001,44.100001,46.970002,1296700,730.317602
2008-04-23,45.000001,45.079999,43.350001,43.860001,977600,681.961457
2008-04-22,46.429999,46.44,44.960001,45.270002,778000,703.884988
2008-04-21,48.079999,48.079999,46.520002,46.54,657300,723.631677
2008-04-18,47.120002,49.18,47.110001,48.229999,978800,749.908796
2008-04-17,44.979999,46.520002,44.860001,46.170002,615000,717.878725
2008-04-16,44.59,45.510001,44.59,45.470002,806600,706.994707
2008-04-15,43.600001,44.529999,43.150001,44.110001,492200,685.848606
2008-04-14,43.900001,44.050001,43.070002,43.29,687200,673.098738
2008-04-11,44.750001,45.350001,43.879999,44.050001,845200,684.915681
2008-04-10,45.479999,46.429999,45.220002,45.560001,513100,708.394071
2008-04-09,46.750001,47.54,45.379999,45.560001,695900,708.394071
2008-04-08,47.810001,48.179999,46.700001,46.750001,670600,726.896892
2008-04-07,47.74,48.58,47.500001,48.04,548900,746.954572
2008-04-04,47.150001,47.729999,46.59,47.300001,619100,735.44862
2008-04-03,46.400001,47.470002,46.050001,46.99,694900,730.628545
2008-04-02,47.04,47.929999,46.350001,46.870002,750800,728.762742
2008-04-01,44.510001,47.160001,44.510001,47.000001,1123400,730.784041
2008-03-31,42.870002,43.950001,42.129999,43.250001,815800,672.476804
2008-03-28,43.620002,44.350001,42.770002,42.800001,631800,665.479935
2008-03-27,44.29,45.000001,43.460001,43.460001,711900,675.742018
2008-03-26,45.49,45.679999,43.979999,44.060001,730200,685.071176
2008-03-25,46.250001,46.570002,45.210001,45.810001,918600,712.28122
2008-03-24,45.270002,47.629999,45.24,46.110001,1365100,716.945799
2008-03-20,42.400001,45.060001,42.400001,45.010001,1323800,699.842343
2008-03-19,44.529999,45.600001,42.020002,42.179999,1695100,655.839786
2008-03-18,41.44,43.670002,41.050001,43.670002,1479600,679.007233
2008-03-17,39.420002,40.379999,38.500001,39.800001,1847400,618.834145
2008-03-14,43.120002,43.120002,40.810001,41.179999,1632000,640.29119
2008-03-13,41.79,42.860001,40.129999,42.479999,1679900,660.504365
2008-03-12,44.100001,45.450001,43.500001,43.650001,1080900,678.696242
2008-03-11,43.200001,44.79,42.74,44.000001,1575000,684.138251
2008-03-10,42.950001,44.120002,41.820002,41.950001,1027300,652.263628
2008-03-07,42.19,44.500001,42.14,42.879999,1491800,666.723804
2008-03-06,44.050001,44.450001,42.829999,42.879999,1306300,666.723804
2008-03-05,45.820002,46.600001,44.350001,44.610001,1115700,693.622904
2008-03-04,46.350001,46.350001,44.44,45.829999,1613400,709.482473
2008-03-03,46.610001,46.820002,45.450001,46.69,1104000,722.795922
2008-02-29,47.060001,47.700001,46.250001,46.860001,2455900,725.427668
2008-02-28,51.470002,51.470002,49.69,50.150001,1216400,776.359305
2008-02-27,50.700001,52.250001,50.58,52.250001,1098900,808.868868
2008-02-26,50.110001,51.620002,50.000001,51.420002,1189600,796.019869
2008-02-25,48.64,50.570002,48.110001,50.38,1245500,779.919858
2008-02-22,47.69,48.910001,46.900001,48.88,982000,756.698742
2008-02-21,48.48,48.88,47.279999,47.59,816300,736.728592
2008-02-20,46.720002,48.250001,46.69,47.900001,1026300,741.527632
2008-02-19,48.050001,48.400001,46.870002,47.029999,1370800,728.059366
2008-02-15,45.279999,46.200001,44.750001,46.110001,1121500,713.81711
2008-02-14,45.450001,46.329999,44.750001,45.500001,1274400,704.373846
2008-02-13,46.420002,46.770002,45.370002,45.520002,1534700,704.68348
2008-02-12,44.970002,46.879999,44.100001,46.14,3154800,714.281513
